network,start1,end1,network2,start2,end2,node,node2,value
SC,17000,17100,MON,2800,2900,170,28,1
VA,6800,6900,VA,4200,4300,68,42,1
MON,14400,14500,SC,6200,6300,144,62,1
SC,16000,16100,MON,10300,10400,160,103,1
VA,8200,8300,MON,11700,11800,82,117,1
VA,21500,21600,MFN,13800,13900,215,138,1
VisII,6600,6700,SC,16000,16100,66,160,1
VisII,5900,6000,VisII,20900,21000,59,209,1
