label,withinID,end,start,value1,value2
DMN_L,1,100,0,0.0106518691375662,0.0107018924615932
DMN_L,2,200,100,0.0145124463714217,0.0143249737947989
DMN_L,3,300,200,0.0139676854462905,0.0138245104478872
DMN_L,4,400,300,0.0126953197993605,0.0122784468366993
DMN_L,5,500,400,0.0122294601040966,0.0120848621454822
DMN_L,6,600,500,0.00994295627886533,0.0100322791470924
FPN_L,1,100,0,0.0111787223181317,0.0111950234741044
FPN_L,2,200,100,0.0126310902016064,0.0126187820409666
FPN_L,3,300,200,0.0129832379506698,0.0127666894010585
FPN_L,4,400,300,0.0116223073583009,0.0115046278222257
FPN_L,5,500,400,0.0162639235576183,0.0163730133933853
FPN_L,6,600,500,0.0139390236234673,0.0137717665767131
FPN_L,7,700,600,0.0149516541890554,0.0148196155325608
FPN_L,8,800,700,0.0172830681112968,0.0174609314220059
FPN_L,9,900,800,0.0156276242679337,0.0155031603097115
FPN_L,10,1000,900,0.014936724098324,0.0149751202482271
MFN_L,1,100,0,0.0139148477423429,0.0136703412653441
MFN_L,2,200,100,0.0134765837928961,0.0132197543054594
MFN_L,3,300,200,0.0162183667909001,0.0162751779142627
MFN_L,4,400,300,0.0159960915038863,0.0159561967107664
MFN_L,5,500,400,0.0177804724066677,0.0182184211420381
MFN_L,6,600,500,0.0181032524942541,0.0182937947780297
MFN_L,7,700,600,0.0185947249894304,0.018945229087234
MFN_L,8,800,700,0.0175852688847482,0.0177897738693291
MFN_L,9,900,800,0.0175940647624023,0.017557801351792
MFN_L,10,1000,900,0.0176496455685523,0.0178383816408735
MFN_L,11,1100,1000,0.0181474469754453,0.0183069820256676
MFN_L,12,1200,1100,0.0162756299129115,0.0162123795939944
MFN_L,13,1300,1200,0.0166226320088405,0.0166366330935682
MFN_L,14,1400,1300,0.0170218284352808,0.0170977805332087
MON_L,1,100,0,0.0185746190820047,0.018821816204967
MON_L,2,200,100,0.0185925362230313,0.0185418139438766
MON_L,3,300,200,0.0202434685437021,0.0203189536926785
MON_L,4,400,300,0.0148215007720344,0.01474467337015
MON_L,5,500,400,0.0164174266983358,0.0163603161204783
MON_L,6,600,500,0.0142376368892245,0.0142544374005293
MON_L,7,700,600,0.0159763088689549,0.0159683157113752
MON_L,8,800,700,0.0210083205928538,0.0213289169354339
MON_L,9,900,800,0.0183431843360351,0.0185274106762139
MON_L,10,1000,900,0.0174983035938855,0.0174684624853559
MON_L,11,1100,1000,0.0194557197324118,0.0197753887328191
MON_L,12,1200,1100,0.0190958773856128,0.0192301162034168
MON_L,13,1300,1200,0.0215633712322193,0.0218138909695936
MON_L,14,1400,1300,0.0195349909195812,0.0195782248337796
