label,withinID,end,start,value1,value2
DMN_L,1,100,0,0.0137700694277148,0.013942102817367
DMN_L,2,200,100,0.0145615710397983,0.0147790005986456
DMN_L,3,300,200,0.0150390060025136,0.0149502652087297
DMN_L,4,400,300,0.0148868686958228,0.0149935777488815
DMN_L,5,500,400,0.0148278094915337,0.0148795244794256
DMN_L,6,600,500,0.0132974379300215,0.0132460988901506
FPN_L,1,100,0,0.0135672681682362,0.0137814774667815
FPN_L,2,200,100,0.013535630154727,0.0133873966958974
FPN_L,3,300,200,0.0144058848801277,0.0143882166152638
FPN_L,4,400,300,0.0139773700002952,0.0139748199189162
FPN_L,5,500,400,0.0142939554275999,0.0143201377193072
FPN_L,6,600,500,0.0138786658121564,0.0139039515168198
FPN_L,7,700,600,0.0144133867945235,0.0144169998364976
FPN_L,8,800,700,0.0139473687029192,0.0138204808852844
FPN_L,9,900,800,0.0152704939364881,0.0150797386653427
FPN_L,10,1000,900,0.01483932130448,0.01483547475475
MFN_L,1,100,0,0.015798323582385,0.0158454365713337
MFN_L,2,200,100,0.0145705175442625,0.014650235736654
MFN_L,3,300,200,0.0142370678242121,0.0142823674448147
MFN_L,4,400,300,0.0158432334711578,0.0159555205528095
MFN_L,5,500,400,0.014640193199298,0.0145521296077325
MFN_L,6,600,500,0.0149758596935674,0.0150209816307121
MFN_L,7,700,600,0.0149169398837275,0.0147729445779835
MFN_L,8,800,700,0.0144110319897564,0.0143147453829563
MFN_L,9,900,800,0.0144273934446054,0.0143095895595935
MFN_L,10,1000,900,0.0139707874676908,0.0138188117281918
MFN_L,11,1100,1000,0.0141027678242628,0.0140563731156805
MFN_L,12,1200,1100,0.0147835189513766,0.0147900592364811
MFN_L,13,1300,1200,0.0137634567823982,0.0137593620733036
MFN_L,14,1400,1300,0.0147722866857363,0.014883839506913
MON_L,1,100,0,0.0150210646285767,0.0149020625765064
MON_L,2,200,100,0.0147658814903426,0.0144751280608797
MON_L,3,300,200,0.0155738335270902,0.015651369580368
MON_L,4,400,300,0.0160677568718783,0.0161496225227492
MON_L,5,500,400,0.0157415458883223,0.0155800178614578
MON_L,6,600,500,0.0157619631156176,0.0159171049614793
MON_L,7,700,600,0.0168754684189252,0.01691166456737
MON_L,8,800,700,0.0170478866578546,0.0168423303202049
MON_L,9,900,800,0.0147880464012323,0.0147352983128629
MON_L,10,1000,900,0.0159826305495049,0.0159251776773712
MON_L,11,1100,1000,0.0159127345211278,0.016169755851963
MON_L,12,1200,1100,0.0174755512085961,0.0177015155915955
MON_L,13,1300,1200,0.0180310479087573,0.0181538200093739
MON_L,14,1400,1300,0.0156316212535849,0.0158345023858404
MON_L,15,1500,1400,0.0162824376825075,0.0162426922574079
MON_L,16,1600,1500,0.0169474013008726,0.0170248750741705
MON_L,17,1700,1600,0.0172417274527299,0.017318722029623
MON_L,18,1800,1700,0.0183532491276993,0.0183586638845478
MON_L,19,1900,1800,0.0181588800158742,0.0184875815854176
SC_L,1,100,0,0.0188776697891845,0.0191710531984553
SC_L,2,200,100,0.0150219893494547,0.0149497899536332
SC_L,3,300,200,0.014531683046668,0.0145678845235669
SC_L,4,400,300,0.0156372692879221,0.0157289949015933
