label,withinID,end,start,value1,value2
DMN_L,1,100,0,0.0141715747964197,0.0140198722962097
DMN_L,2,200,100,0.0170649244175048,0.0169091795228391
DMN_L,3,300,200,0.0176227550214354,0.0172901991826338
DMN_L,4,400,300,0.0156537174889508,0.0156430370053586
DMN_L,5,500,400,0.0167160810911904,0.0165571346883667
DMN_L,6,600,500,0.0131256053920844,0.0132378964502406
FPN_L,1,100,0,0.0143526443193804,0.0144899176450119
FPN_L,2,200,100,0.0162734895158999,0.0165276799963992
FPN_L,3,300,200,0.0164266011032495,0.0165256660661025
FPN_L,4,400,300,0.0162879935582265,0.0162810063375422
FPN_L,5,500,400,0.0209026336403346,0.0209158685256062
FPN_L,6,600,500,0.0183214009931899,0.01888305278293
FPN_L,7,700,600,0.0204909981679576,0.0203943193460436
FPN_L,8,800,700,0.0228195188717195,0.0230964404049095
FPN_L,9,900,800,0.019991851446585,0.0196123386320351
FPN_L,10,1000,900,0.0183725310760523,0.0186592324663891
MFN_L,1,100,0,0.0168699446174841,0.016841967769358
MFN_L,2,200,100,0.0157737908424923,0.0158699586074476
MFN_L,3,300,200,0.0213192280839107,0.0214923346160267
MFN_L,4,400,300,0.0192752596997643,0.0191071092150432
MFN_L,5,500,400,0.0223374676416325,0.0225093427291711
MFN_L,6,600,500,0.0228944272749702,0.0230733284519414
MFN_L,7,700,600,0.0210861191785426,0.0212531785970374
MFN_L,8,800,700,0.019648438757872,0.0196689695481968
MFN_L,9,900,800,0.0202786004645782,0.0200380902316793
MFN_L,10,1000,900,0.0201911000258818,0.0205276991676021
MFN_L,11,1100,1000,0.0209771608718733,0.0207252273441604
MFN_L,12,1200,1100,0.020503598141055,0.0203181732106075
MFN_L,13,1300,1200,0.0208343776757693,0.0211541987193965
MFN_L,14,1400,1300,0.0226805939782481,0.0231785384758577
MON_L,1,100,0,0.022133154283654,0.02193569192289
MON_L,2,200,100,0.021726141012958,0.0216031175516308
MON_L,3,300,200,0.0219143459703234,0.022141124564301
MON_L,4,400,300,0.019089721220031,0.0188692503135297
MON_L,5,500,400,0.0205170669897598,0.0201742349127938
