network,withinID,start1,end1,network2,withinID2,start2,end2
MFN_L,13,1230,1270,DMN_R,5,430,470
MON_L,9,830,870,DMN_R,5,430,470
MON_L,11,1030,1070,DMN_R,7,630,670
MON_L,16,1530,1570,DMN_R,2,130,170
MON_L,17,1630,1670,DMN_R,3,230,270
SC_L,7,630,670,DMN_R,2,130,170
FPN_L,8,730,770,DMN_R,8,730,770
FPN_L,9,830,870,DMN_R,9,830,870
MFN_L,12,1130,1170,DMN_R,2,130,170
MFN_L,13,1230,1270,DMN_R,3,230,270
MON_L,9,830,870,DMN_R,3,230,270
MON_L,15,1430,1470,DMN_R,9,830,870
MON_L,16,1530,1570,DMN_R,10,930,970
MON_L,17,1630,1670,DMN_R,1,30,70
SC_L,5,430,470,DMN_R,8,730,770
SC_L,7,630,670,DMN_R,10,930,970
VA_L,1,30,70,DMN_R,3,230,270
FPN_L,9,830,870,DMN_R,8,730,770
MFN_L,8,730,770,DMN_R,7,630,670
MFN_L,13,1230,1270,DMN_R,2,130,170
MON_L,11,1030,1070,DMN_R,4,330,370
MON_L,15,1430,1470,DMN_R,8,730,770
MON_L,16,1530,1570,DMN_R,9,830,870
MON_L,17,1630,1670,DMN_R,10,930,970
MON_L,18,1730,1770,DMN_R,1,30,70
VA_L,1,30,70,DMN_R,2,130,170
VA_L,3,230,270,DMN_R,4,330,370
DMN_R,8,730,770,DMN_R,7,630,670
MFN_L,13,1230,1270,DMN_R,1,30,70
MON_L,9,830,870,DMN_R,1,30,70
MON_L,11,1030,1070,DMN_R,3,230,270
MON_L,15,1430,1470,DMN_R,7,630,670
MON_L,16,1530,1570,DMN_R,8,730,770
MON_L,17,1630,1670,DMN_R,9,830,870
MON_L,18,1730,1770,DMN_R,10,930,970
SC_L,7,630,670,DMN_R,8,730,770
VA_L,1,30,70,DMN_R,1,30,70
VA_L,2,130,170,DMN_R,1,30,70
VA_L,6,530,570,DMN_R,5,430,470
MFN_L,13,1230,1270,FPN_L,2,130,170
MON_L,9,830,870,FPN_L,2,130,170
MON_L,3,230,270,FPN_R,14,1330,1370
MON_L,9,830,870,FPN_R,1,30,70
MON_L,11,1030,1070,FPN_R,3,230,270
MON_L,16,1530,1570,FPN_R,8,730,770
MON_L,17,1630,1670,FPN_R,9,830,870
MON_L,18,1730,1770,FPN_R,10,930,970
SC_L,5,430,470,FPN_R,16,1530,1570
SC_L,7,630,670,FPN_R,18,1730,1770
DMN_R,8,730,770,FPN_R,18,1730,1770
MON_L,4,330,370,FPN_R,15,1430,1470
Vis1_L,1,30,70,FPN_R,19,1830,1870
MON_L,11,1030,1070,FPN_R,3,230,270
MON_L,17,1630,1670,FPN_R,9,830,870
MON_L,18,1730,1770,FPN_R,10,930,970
SC_L,5,430,470,FPN_R,16,1530,1570
SC_L,7,630,670,FPN_R,18,1730,1770
VA_L,1,30,70,FPN_R,12,1130,1170
MON_L,15,1430,1470,FPN_R,7,630,670
MON_L,18,1730,1770,FPN_R,10,930,970
DMN_R,8,730,770,FPN_R,18,1730,1770
