network,nodeN,start,end
DMN_R,11,1,1100
FPN_R,19,1,1900
MFN_R,10,1,1000
MON_R,25,1,2500
SC_R,44,1,4400
VA_R,9,1,900
Vis1_R,10,1,1000
Vis2_R,5,1,500
Vis2_L,4,1,400
Vis1_L,8,1,800
VA_L,9,1,900
SC_L,46,1,4600
MON_L,25,1,2500
MFN_L,19,1,1900
FPN_L,15,1,1500
DMN_L,9,1,900
