label,withinID,end,start,value1,value2
DMN_L,1,100,0,0.0200265226860209,0.0198593297937502
DMN_L,2,200,100,0.0186798913429772,0.0183916908524363
DMN_L,3,300,200,0.0170914508472125,0.0169881226123628
DMN_L,4,400,300,0.0225361784035374,0.0227759162492211
DMN_L,5,500,400,0.0227037347773703,0.022424772681354
DMN_L,6,600,500,0.0209533061910023,0.0205862168401212
DMN_L,7,700,600,0.0215862952723987,0.0212448012199839
DMN_L,8,800,700,0.0223425166281204,0.022012405258461
DMN_L,9,900,800,0.0206621573503955,0.0204219413736908
FPN_L,1,100,0,0.0174524050917711,0.0174198858378494
FPN_L,2,200,100,0.0174231904720388,0.0172208465207973
FPN_L,3,300,200,0.0181672918230958,0.0180024091801781
FPN_L,4,400,300,0.0192490935475014,0.0190852738919614
FPN_L,5,500,400,0.018901346046283,0.018886585261063
FPN_L,6,600,500,0.0202593358330007,0.0200196417650878
FPN_L,7,700,600,0.0188422592166175,0.0186541387698963
FPN_L,8,800,700,0.0216361738193989,0.0216772619568054
FPN_L,9,900,800,0.0218558694055585,0.0219614581022384
FPN_L,10,1000,900,0.021617100958707,0.0219000281238038
FPN_L,11,1100,1000,0.0221489249160255,0.0224300007612194
FPN_L,12,1200,1100,0.0213737876514947,0.0214384707013109
FPN_L,13,1300,1200,0.0190105000359082,0.0191168436644506
FPN_L,14,1400,1300,0.0193304072288681,0.0191465036297971
FPN_L,15,1500,1400,0.0195775217348287,0.0195741520821124
MFN_L,1,100,0,0.019346821536282,0.0192227681929355
MFN_L,2,200,100,0.0188270267173183,0.0186417934438991
MFN_L,3,300,200,0.0175837944469509,0.0175326711222683
MFN_L,4,400,300,0.0185582004650824,0.0184934732697109
MFN_L,5,500,400,0.0189205834612678,0.018827626803493
MFN_L,6,600,500,0.0195655411375896,0.0194743617543099
MFN_L,7,700,600,0.0209041545306235,0.0212140809509584
MFN_L,8,800,700,0.0208482064457257,0.021037078134826
MFN_L,9,900,800,0.0203380587076596,0.0203973263664272
MFN_L,10,1000,900,0.0183994080047353,0.0181654845465091
MFN_L,11,1100,1000,0.0186768945404805,0.0186282147862736
MFN_L,12,1200,1100,0.0234939545810795,0.0237010895251768
MFN_L,13,1300,1200,0.0211922100494588,0.0214584134824738
