label,withinID,end,start,value1,value2
DMN_L,1,100,0,0.0170295983421887,0.0167654003093374
DMN_L,2,200,100,0.0186279551434659,0.0186640876479897
DMN_L,3,300,200,0.0182084080262548,0.0181498812510274
DMN_L,4,400,300,0.0187689601462154,0.018420260953639
DMN_L,5,500,400,0.0172386330745528,0.0173141970674886
DMN_L,6,600,500,0.014904775788926,0.0152700537469163
FPN_L,1,100,0,0.0157784392062645,0.0159995345233764
FPN_L,2,200,100,0.0170532075045906,0.0170372277420468
FPN_L,3,300,200,0.016831864176466,0.0163588906016457
FPN_L,4,400,300,0.0164504681465736,0.0163446990639909
FPN_L,5,500,400,0.0166576307134942,0.0167797176389145
FPN_L,6,600,500,0.0160045720635243,0.0155779443995186
FPN_L,7,700,600,0.0158757436709793,0.015907497495557
FPN_L,8,800,700,0.0160061440494032,0.0161178602404269
FPN_L,9,900,800,0.0172540823914597,0.0166906172295701
FPN_L,10,1000,900,0.0181626319254027,0.0180889172981997
MFN_L,1,100,0,0.0195116528007009,0.0191615037120188
MFN_L,2,200,100,0.0187399418401836,0.0188196582987415
MFN_L,3,300,200,0.0174047811366843,0.0173335614164073
MFN_L,4,400,300,0.0185906219525612,0.0187065140032652
MFN_L,5,500,400,0.0177605551658157,0.0174977673739313
MFN_L,6,600,500,0.0169841927456488,0.0166957405631901
MFN_L,7,700,600,0.0180924250420841,0.0184572480893967
MFN_L,8,800,700,0.0163717266307339,0.0162176291013941
MFN_L,9,900,800,0.0168198457236048,0.0168836744225551
MFN_L,10,1000,900,0.0157002828400603,0.0156413926638498
MFN_L,11,1100,1000,0.0158941937795699,0.0159774815605813
MFN_L,12,1200,1100,0.0167223517889885,0.0165593239765564
MFN_L,13,1300,1200,0.0165156379175507,0.0166019214085761
MFN_L,14,1400,1300,0.0168554388110221,0.0172783910544727
MON_L,1,100,0,0.0167533189437169,0.0167680537256583
MON_L,2,200,100,0.0168632619332439,0.016701154252685
MON_L,3,300,200,0.0169636302260217,0.0170514910727857
MON_L,4,400,300,0.0205785016016888,0.0208891866276882
MON_L,5,500,400,0.0197991727129334,0.0196319286698114
MON_L,6,600,500,0.0193714029704616,0.0194933986231233
MON_L,7,700,600,0.0210051279052313,0.0210525915131821
MON_L,8,800,700,0.0182997963252905,0.018581330787576
MON_L,9,900,800,0.0161221705847625,0.0158854505187722
MON_L,10,1000,900,0.0201986607645523,0.0203369025881861
MON_L,11,1100,1000,0.0158043132683554,0.0161313631402745
MON_L,12,1200,1100,0.0187270387782724,0.0187499930536088
MON_L,13,1300,1200,0.0192512118134569,0.019296503782
MON_L,14,1400,1300,0.0168640261319698,0.0169155751814319
MON_L,15,1500,1400,0.0182494185880741,0.0177946554716869
MON_L,16,1600,1500,0.0212138068848269,0.0209186978871687
MON_L,17,1700,1600,0.019782637939791,0.020066003962171
MON_L,18,1800,1700,0.020602824517668,0.0205464393295291
MON_L,19,1900,1800,0.0192829045110814,0.0192583891506221
SC_L,1,100,0,0.022334164206973,0.022530581116625
SC_L,2,200,100,0.019429884038957,0.019282329466359
SC_L,3,300,200,0.0186849657919016,0.0187071439058062
SC_L,4,400,300,0.0195745750167861,0.0199450407616021
SC_L,5,500,400,0.0231722664815624,0.0231292642996226
SC_L,6,600,500,0.0207055327738726,0.0208177752293147
SC_L,7,700,600,0.0204568303614095,0.0204641686963122
SC_L,8,800,700,0.0198683840100791,0.0200388149355616
SC_L,9,900,800,0.0205094768705109,0.0206908716335031
SC_L,10,1000,900,0.0213444080037576,0.021524061573716
SC_L,11,1100,1000,0.0198736321645027,0.020083823177293
SC_L,12,1200,1100,0.0202060289559812,0.0206644314134769
SC_L,13,1300,1200,0.0220754454404841,0.0217171518253848
SC_L,14,1400,1300,0.0226724177921233,0.0227037265006208
SC_L,15,1500,1400,0.0212189639552443,0.0214777735752291
SC_L,16,1600,1500,0.0228312937438218,0.0232039125525349
SC_L,17,1700,1600,0.0196041729788267,0.0197036774536827
SC_L,18,1800,1700,0.0191617453488145,0.019355824892854
SC_L,19,1900,1800,0.0208493514947156,0.0205185601673118
VA_L,1,100,0,0.0222185356380448,0.0224213644393328
VA_L,2,200,100,0.0211937791422168,0.0214902493009442
VA_L,3,300,200,0.0209819461846044,0.0213037492872707
VA_L,4,400,300,0.0192897140097126,0.0191480720816455
VA_L,5,500,400,0.0182604853983306,0.0184596213949918
VA_L,6,600,500,0.0191363785863353,0.0194777549592604
VA_L,7,700,600,0.0179675371676542,0.0178429507306924
Vis1_L,1,100,0,0.0163437964342927,0.0164255866093203
Vis1_L,2,200,100,0.0189403386316333,0.0190837623469265
Vis1_L,3,300,200,0.0166471704781233,0.0168532090356666
Vis1_L,4,400,300,0.0166658857286268,0.0168902529706365
