label,withinID,end,start,value1,value2
DMN_L,1,100,0,0.0136154193594282,0.0133366175766013
DMN_L,2,200,100,0.0167538788957709,0.0164500378410261
DMN_L,3,300,200,0.0163865245719233,0.0161267974818023
DMN_L,4,400,300,0.0159990484535058,0.0157113033760914
DMN_L,5,500,400,0.0146407340991148,0.0148010074810079
DMN_L,6,600,500,0.012818292584935,0.012941069536461
FPN_L,1,100,0,0.0138208601582361,0.0137473599256473
FPN_L,2,200,100,0.0142307273531658,0.0143242260371403
FPN_L,3,300,200,0.0143065656188773,0.0141002470308199
FPN_L,4,400,300,0.0137476211287023,0.0137747338141315
FPN_L,5,500,400,0.0154382771968845,0.015215177700625
FPN_L,6,600,500,0.0143977822842901,0.0141943520707462
FPN_L,7,700,600,0.0146558324501994,0.0147747595667186
FPN_L,8,800,700,0.0147172310840261,0.0147395387336947
FPN_L,9,900,800,0.0157319507669537,0.0154916937030971
FPN_L,10,1000,900,0.0165739212757505,0.0163704437947487
MFN_L,1,100,0,0.0164454950385152,0.0166003195536795
MFN_L,2,200,100,0.0157997055729924,0.0158597492706502
MFN_L,3,300,200,0.0154412112018781,0.015428378036647
MFN_L,4,400,300,0.0171906974141722,0.0169809086239078
MFN_L,5,500,400,0.016404900329913,0.0163676235469537
MFN_L,6,600,500,0.0160941298522244,0.0160880824788723
MFN_L,7,700,600,0.0170796066576652,0.0171085547787528
MFN_L,8,800,700,0.0154330432035675,0.0152208590318456
MFN_L,9,900,800,0.015446916012622,0.0153764999356585
MFN_L,10,1000,900,0.0151334178298264,0.0153352969639513
MFN_L,11,1100,1000,0.0158657035155227,0.01588417002647
MFN_L,12,1200,1100,0.0154731370602991,0.0153892522154552
MFN_L,13,1300,1200,0.0148126457321288,0.0147257472012619
MFN_L,14,1400,1300,0.0153220431535677,0.0153555589818111
MON_L,1,100,0,0.0165839871931822,0.0165131907233426
MON_L,2,200,100,0.0157810780865441,0.0159812552107723
MON_L,3,300,200,0.0177846010727158,0.017902130094777
MON_L,4,400,300,0.0179930070937765,0.017949759881421
MON_L,5,500,400,0.0177914424756493,0.0177548156063915
MON_L,6,600,500,0.0172332033876962,0.0174353502834544
MON_L,7,700,600,0.0189055535380846,0.0189001247678543
MON_L,8,800,700,0.0198983820145977,0.0199655935757395
MON_L,9,900,800,0.0162467039534294,0.0162143028247164
MON_L,10,1000,900,0.0183550712177972,0.0183336901852352
MON_L,11,1100,1000,0.0183307508720618,0.0185189519262267
MON_L,12,1200,1100,0.0198035356062374,0.0198452347743847
MON_L,13,1300,1200,0.0213289015278647,0.0213648133023571
MON_L,14,1400,1300,0.0188100093851628,0.0189143992725294
MON_L,15,1500,1400,0.0191803170972588,0.019318860297672
MON_L,16,1600,1500,0.0202024353531194,0.0203392374556723
MON_L,17,1700,1600,0.0215055387071863,0.0216443314502601
MON_L,18,1800,1700,0.0214222522849958,0.0217355514167855
MON_L,19,1900,1800,0.0205704043203754,0.0206474619109039
SC_L,1,100,0,0.0219712313056447,0.0221781009393264
SC_L,2,200,100,0.0163974658904149,0.0161790551833283
SC_L,3,300,200,0.0156175479203759,0.0156535595762307
SC_L,4,400,300,0.0172253185256279,0.0172695069674195
SC_L,5,500,400,0.0212373360543356,0.0216630181333615
SC_L,6,600,500,0.0184244704861579,0.018746777803161
SC_L,7,700,600,0.0177899059780868,0.018099012009924
SC_L,8,800,700,0.016435049776178,0.016345026016404
SC_L,9,900,800,0.0178616114958114,0.0177868184294998
SC_L,10,1000,900,0.0194521115274424,0.0194732179338972
SC_L,11,1100,1000,0.0176019250558947,0.0175284450876558
SC_L,12,1200,1100,0.0177951051379447,0.0179286730067361
SC_L,13,1300,1200,0.0200302030860423,0.0201613284342953
SC_L,14,1400,1300,0.0196099921219017,0.0198856727337835
SC_L,15,1500,1400,0.0185368040942599,0.0189474627705715
SC_L,16,1600,1500,0.0219744125468882,0.0225454821946684
SC_L,17,1700,1600,0.0197330891189313,0.0201174194637846
SC_L,18,1800,1700,0.0187503821398798,0.018779986627678
SC_L,19,1900,1800,0.0204389173559555,0.0203642528905103
VA_L,1,100,0,0.021118210138029,0.0212638357519535
VA_L,2,200,100,0.0197982686636158,0.0202235037523986
VA_L,3,300,200,0.0204528869611223,0.0207875644268577
VA_L,4,400,300,0.0185358900907786,0.0186811898478802
VA_L,5,500,400,0.0193012643805438,0.019459609774294
VA_L,6,600,500,0.0201696641356007,0.0205212909198584
VA_L,7,700,600,0.0186175420436219,0.0186020445038506
Vis1_L,1,100,0,0.0168048413032358,0.0170460505485153
Vis1_L,2,200,100,0.0174661688045703,0.017716517066493
Vis1_L,3,300,200,0.0172062923886706,0.017378095713496
Vis1_L,4,400,300,0.017276659843226,0.0175903727074228
Vis1_L,5,500,400,0.018195746807557,0.0182388822305459
Vis1_L,6,600,500,0.0148765009077718,0.0148305281113775
Vis1_L,7,700,600,0.0163876180609152,0.0158565770240214
Vis1_L,8,800,700,0.01790935941886,0.0175744924895289
Vis2_L,1,100,0,0.0204089264322667,0.0207559811729236
Vis2_L,2,200,100,0.0192181881047078,0.0193764814368601
Vis2_L,3,300,200,0.0204948532372899,0.0208493470588445
DMN_R,1,100,0,0.0165995476919996,0.0162009425591131
DMN_R,2,200,100,0.018778868140052,0.0184115882697954
DMN_R,3,300,200,0.0178951661563757,0.0178545614724019
DMN_R,4,400,300,0.0196048321048546,0.0194550261440898
DMN_R,5,500,400,0.0163043784451382,0.0165209164664297
DMN_R,6,600,500,0.0193350450918428,0.019027224573958
DMN_R,7,700,600,0.0171070934048999,0.0171830455565878
DMN_R,8,800,700,0.0201800623734989,0.0199329662563471
DMN_R,9,900,800,0.0187779528206769,0.018624079139161
