label,withinID,end,start,value1,value2
DMN_L,1,100,0,0.0147859769575834,0.0145858222844597
DMN_L,2,200,100,0.0185339455161016,0.0179099068875011
DMN_L,3,300,200,0.0182094564577242,0.0175841429646974
DMN_L,4,400,300,0.0175135789333691,0.0171423068675581
DMN_L,5,500,400,0.0162616813349793,0.0160174307206757
DMN_L,6,600,500,0.0139739156655261,0.0138950887334557
FPN_L,1,100,0,0.0151520833187392,0.0151549359046247
FPN_L,2,200,100,0.0153978050753709,0.0154420042725656
FPN_L,3,300,200,0.0158209621396249,0.0158123612284143
FPN_L,4,400,300,0.0148500012773352,0.01473618568108
FPN_L,5,500,400,0.0173539480953216,0.0173740452389226
FPN_L,6,600,500,0.0157351536025871,0.0156459767887353
FPN_L,7,700,600,0.0168273945327354,0.0166296586454738
FPN_L,8,800,700,0.0167652220625437,0.0170462816177807
FPN_L,9,900,800,0.0177865794982432,0.0173986994410234
FPN_L,10,1000,900,0.0180088673435008,0.0181646138773982
MFN_L,1,100,0,0.0183459835099533,0.0180606108311638
MFN_L,2,200,100,0.0175269903116139,0.0174511433938986
MFN_L,3,300,200,0.0169598569292397,0.0170475361852321
MFN_L,4,400,300,0.0189817476053784,0.0188397765605378
MFN_L,5,500,400,0.0184206492025525,0.0186243703682488
MFN_L,6,600,500,0.0181858993155843,0.0181716353642579
MFN_L,7,700,600,0.0196370612669694,0.0196163969782015
MFN_L,8,800,700,0.0171380231087883,0.0168895234791306
MFN_L,9,900,800,0.0181655179497017,0.0176550355650955
MFN_L,10,1000,900,0.0166273607584119,0.0166219628847521
MFN_L,11,1100,1000,0.0176117426256773,0.0177074774978809
MFN_L,12,1200,1100,0.0172398346511329,0.0170464765202533
MFN_L,13,1300,1200,0.0164858800440941,0.0163678058331965
MFN_L,14,1400,1300,0.0172046697851236,0.0170108814909471
MON_L,1,100,0,0.0186688311367091,0.0187869104266418
MON_L,2,200,100,0.0180377770370032,0.0180056641460415
MON_L,3,300,200,0.0199551210456387,0.0200514272323438
MON_L,4,400,300,0.0198862662530299,0.0199923481807851
MON_L,5,500,400,0.0202695900844544,0.020029338403287
