label,withinID,end,start,value1,value2
DMN_L,1,100,0,0.016802189375009,0.0169281556523366
DMN_L,2,200,100,0.0207303425924543,0.0206184394238009
DMN_L,3,300,200,0.0204669884320627,0.0201629185656272
DMN_L,4,400,300,0.0206190466320445,0.0206549630966502
DMN_L,5,500,400,0.0180782938173597,0.0178620972913667
DMN_L,6,600,500,0.0155806656311827,0.015690641876234
FPN_L,1,100,0,0.0154190601336998,0.0159236056528432
FPN_L,2,200,100,0.0176646434418413,0.0179660531657691
FPN_L,3,300,200,0.0165545313928427,0.0164658254588506
FPN_L,4,400,300,0.0170933285578716,0.0170980567302724
FPN_L,5,500,400,0.0183226355055969,0.0181370128097269
FPN_L,6,600,500,0.0171735624342054,0.0173111852821181
FPN_L,7,700,600,0.0181384412604327,0.0180881053332866
FPN_L,8,800,700,0.0188452893474524,0.0190077070390267
FPN_L,9,900,800,0.0182836505740622,0.0181339207207828
FPN_L,10,1000,900,0.0209133408568955,0.0212849291170568
MFN_L,1,100,0,0.0211786032911032,0.0215048051526297
MFN_L,2,200,100,0.0210149422757258,0.0209248147093677
MFN_L,3,300,200,0.018683319900406,0.0186188171182276
MFN_L,4,400,300,0.0211663637375569,0.0212948504357499
MFN_L,5,500,400,0.0195401928003885,0.0195698574037234
MFN_L,6,600,500,0.0193045624225571,0.01927254074336
MFN_L,7,700,600,0.021691210973812,0.0216193553015696
MFN_L,8,800,700,0.0180517409488781,0.0175650576657638
MFN_L,9,900,800,0.0187719187461251,0.0188250180602666
MFN_L,10,1000,900,0.0186774079917412,0.0187241761757403
MFN_L,11,1100,1000,0.0194350519100516,0.0191081515393883
MFN_L,12,1200,1100,0.0189856591817229,0.0190086235448044
MFN_L,13,1300,1200,0.0188653013069378,0.0193836717542533
MFN_L,14,1400,1300,0.0192013986124152,0.0195808418955957
MON_L,1,100,0,0.0193590037391847,0.0191034533357553
MON_L,2,200,100,0.019481931637337,0.0193426721444412
MON_L,3,300,200,0.020179839291124,0.0205144467185331
MON_L,4,400,300,0.0234433911636918,0.0232435214780622
MON_L,5,500,400,0.0218520694374938,0.0216468705803561
MON_L,6,600,500,0.0221128364545908,0.0224622963008535
MON_L,7,700,600,0.0240231029138531,0.0238684707888913
MON_L,8,800,700,0.0217909589824913,0.0215502274997985
MON_L,9,900,800,0.0193585043000803,0.0195513718893381
MON_L,10,1000,900,0.0229272689791922,0.0229738048067996
MON_L,11,1100,1000,0.0193217183684661,0.0194976861412373
MON_L,12,1200,1100,0.0194287730572474,0.0193877135316175
MON_L,13,1300,1200,0.021817751683541,0.02194351374783
MON_L,14,1400,1300,0.0187358083278264,0.0186931857839629
MON_L,15,1500,1400,0.0214738726946811,0.021501688529654
MON_L,16,1600,1500,0.02385323483152,0.0239989306095201
MON_L,17,1700,1600,0.0231350870755872,0.02354497339922
MON_L,18,1800,1700,0.0243288277233511,0.0243403552510643
MON_L,19,1900,1800,0.0216410707803805,0.0216112017385454
SC_L,1,100,0,0.0241579364229495,0.0243773294740439
SC_L,2,200,100,0.0211496107132027,0.0212882515161185
SC_L,3,300,200,0.0216910119391516,0.0218277890790614
SC_L,4,400,300,0.0237195497254929,0.0243300376911832
SC_L,5,500,400,0.0258553289300687,0.026627549158562
